SWV ITM Data Console - ITM Port: 0
C device is ready.
MPU6050 is ready!
Calibration Complete!
Accel Offsets: X = -4145, Y = -917, Z = 14036
Gyro Offsets: X = -466, Y = 163, Z = -193
ax, ay, az, gx, gy, gz
-0.5427, 0.8345, 0.1091, -2.5573, -8.2595, -22.2519
-0.0087, 0.0794, -0.0127, -17.9237, -5.7557, -1.6336
-0.0705, 0.0196, -0.0200, -1.6947, -18.9389, -22.3053
-0.1674, -0.0573, -0.0139, -8.1679, 3.2672, 51.6947
-0.5510, 0.5450, -0.0583, 15.6412, 38.3664, 93.3817
-0.4011, 0.2061, -0.1006, 19.0763, 15.9008, 86.4427
-0.1103, 0.0186, 0.0083, -12.0611, 11.9924, 122.0840
-0.1948, 0.2698, -0.0869, 18.2901, 32.6260, 21.6718
0.3985, -0.1879, 0.0725, 6.3511, 30.4886, 30.5344
0.0760, 0.2381, -0.0432, 29.8779, 18.0229, -23.4275
-0.2983, 0.1446, -0.1387, 32.8550, 12.7939, -31.5038
-0.0685, 0.0142, -0.0405, 8.4580, -9.7176, -4.9160
0.3306, -0.1269, 0.1458, 30.0458, 9.6260, -10.0076
-0.9860, -0.2900, -0.1868, 19.6260, 118.4885, 155.6794
0.0172, 0.1317, 0.2070, 47.1756, 7.9771, -31.8244
-0.2370, -0.3544, 0.1921, -10.4427, 78.0382, -5.7557
0.1863, 0.1116, -0.1936, -54.6336, 52.4122, -42.3740
-0.1489, 0.0086, 0.1079, -32.2061, 24.5954, -118.5649
-0.0895, 0.0757, -0.0518, -34.0992, -1.1756, -139.9618
-0.1826, -0.0197, -0.0298, -47.0840, -14.7023, -117.6336
-0.1474, -0.0876, -0.0444, -35.7863, -11.8092, -94.2366
-0.1994, 0.5010, 0.1562, -2.7176, -33.8855, -73.1603
-0.1191, 0.0074, -0.0439, -0.4656, -5.5649, 0.6031
-0.1271, 0.0001, -0.0596, 0.0382, -18.1756, -0.0076
-0.1078, 0.0025, -0.0117, 0.2595, -13.5725, 0.5725
-0.0554, 0.0223, 0.0120, -18.4886, 14.7634, 54.1298
-0.1032, 0.0035, 0.0049, -0.2366, 11.7863, 0.3511
-0.1318, -0.0048, -0.0671, 0.6412, 9.2519, -1.2519
-0.1342, 0.0025, -0.0898, -0.0458, 2.1374, 0.1069
-0.1186, -0.0031, -0.0527, -0.0840, 5.3817, 0.2061
-0.1215, 0.0035, -0.0369, -0.2137, 18.2366, 0.0916
-0.1059, 0.0020, 0.0195, -0.5954, 24.4962, 0.7252
0.0877, 0.2232, -0.0583, -14.9695, -12.3664, 30.3817
-0.1755, 0.0543, -0.1023, -4.0992, -45.1679, 11.4580
-0.4033, 0.0145, -0.0525, -12.7481, 22.0076, 25.2290
-0.5478, 0.0569, 0.3857, 9.5267, -22.5114, -16.3893
-1.6984, 1.2339, -0.4231, -42.3740, -4.5954, 92.5802
-0.5029, 0.0587, -0.0024, -15.9847, -67.4122, 38.8168
-0.1411, -0.0370, -0.0613, 5.4733, -37.6412, -11.3206
-0.0468, -0.0429, -0.0293, -9.2443, -20.9084, 20.4427
-0.1279, 0.0269, -0.0217, -0.2595, -4.9771, 0.5344
-0.0085, 0.0555, -0.0378, -0.4122, -22.8626, 2.6183
-0.0849, -0.0182, -0.0474, -4.8397, -34.9160, 13.6107
-0.1972, -0.0844, -0.0264, -7.0153, -31.9084, 13.2061
-0.0654, 0.0027, -0.0483, -11.7634, -18.0687, 28.1527
-0.4474, 0.1548, -0.1143, -8.9084, -35.0687, 21.6870
-0.0256, -0.0031, 0.0063, -2.8702, -38.2214, 9.0763
-0.1198, 0.0262, -0.0229, 0.8626, -14.9618, -2.2595
-0.0812, 0.0269, -0.0378, -6.8855, -19.1298, 18.7634
-0.0849, 0.0142, -0.0251, 2.3969, -4.7176, -5.9924
-0.0529, -0.0458, -0.0352, -12.4122, -12.3282, 33.5649
-0.1164, 0.0499, -0.0212, -6.3282, -10.1221, 17.5191
-0.0261, -0.0200, -0.0168, -5.9924, -15.1527, 16.6641
-0.1193, -0.2541, -0.1877, -0.5038, -11.8015, -0.9847
-0.6364, 0.3240, -0.2488, 15.1527, -2.1221, -40.7481
0.2510, 0.2122, 0.3254, 15.2290, 25.2595, -43.3435
-0.1176, -0.0703, -0.1897, 2.5191, 17.2366, -6.5344
-0.1262, 0.0809, -0.0181, 20.9160, 15.7099, -51.8473
-0.0922, -0.0651, -0.0715, 11.0000, 37.8550, -26.1221
-0.0544, -0.0417, -0.0061, 13.0916, 50.1679, -31.7786
-0.1271, -0.0012, -0.0183, 22.4351, 44.3893, -10.9313
-0.1310, -0.0283, -0.0339, 27.2748, 31.9924, 12.9237
-0.1105, -0.0568, -0.0432, 22.0305, 48.1221, 29.6260
-0.1266, -0.0014, -0.0422, 23.5114, 45.9542, 49.5344
-0.1127, -0.0192, 0.0017, -14.7786, 25.0153, 31.0458
-0.0427, 0.1011, 0.0999, -13.1221, -26.0153, 15.7099
-0.0385, 0.1414, 0.0405, -3.3130, -65.6183, 42.3435
-0.1926, -0.0246, -0.1047, 2.7634, -69.0458, 38.6107
-0.3356, -0.1362, -0.1035, 2.8092, -47.0458, 41.4885
-0.2768, -0.0773, -0.0444, -4.2290, -20.0076, 28.9847
-0.2509, 0.0023, -0.0034, -13.9237, -6.7939, 26.6260
-0.2082, 0.0242, 0.1389, -18.8244, -4.3817, 31.7252
-0.2687, 0.0430, 0.2048, -23.4504, -7.0611, 35.0153
-0.1923, 0.0753, 0.3188, -27.0534, -24.0076, 34.0763
-0.1633, 0.0506, 0.3279, -34.4427, -33.4580, 52.9237
-0.2465, 0.0591, 0.1865, -36.9237, -22.2748, 33.6641
-0.1498, 0.1653, 0.0732, -23.2061, -33.4580, 19.5878
-0.1474, 0.0460, 0.0474, 0.0611, -65.9313, 31.7176
-0.2365, 0.0054, 0.0293, -3.3359, -57.2901, 30.9466
-0.1528, 0.0089, 0.0295, -2.1985, -63.2519, 27.5649
-0.1198, 0.0804, 0.0090, 0.7939, -65.3893, 18.4733
