SWV ITM Data Console - ITM Port: 0
2C device is ready.
MPU6050 is ready!
Calibration Complete!
Accel Offsets: X = -5674, Y = 614, Z = 11746
Gyro Offsets: X = -726, Y = -452, Z = -158
ax, ay, az, gx, gy, gz
0.2416, -0.2555, 0.1464, -17.2366, -27.7863, -29.7786
0.2599, -0.2560, 0.1669, -15.8550, -19.9160, -23.0305
0.2533, -0.2462, 0.1940, -14.4046, -11.4656, -13.2290
0.2511, -0.2621, 0.2018, -12.0000, -3.5038, -11.8855
0.2777, -0.2531, 0.2369, -9.5725, 0.0840, -15.9847
0.2533, -0.2528, 0.1327, -16.3817, 8.1527, -12.1527
0.2614, -0.2596, 0.1354, -22.8473, 8.2977, -20.1221
0.2482, -0.2638, 0.1473, -21.1221, 8.0458, -28.7023
0.2606, -0.2526, 0.1876, -20.6870, 10.1145, -32.3511
0.2933, -0.2284, 0.2120, -17.7481, 16.2824, -32.9313
0.3202, -0.2152, 0.1974, -14.6489, 19.4733, -39.6718
0.3031, -0.2181, 0.1219, -12.6412, 20.7710, -43.8779
0.3107, -0.2194, 0.1237, -9.2977, 11.0076, -48.6794
0.3024, -0.2343, 0.0863, -4.7481, -7.6031, -44.6031
0.3209, -0.2142, 0.0958, -16.7710, -5.8473, -39.1679
0.3434, -0.1803, 0.1776, -29.3206, -3.9466, -34.0000
0.3324, -0.1693, 0.2032, -16.1145, -10.3435, -37.0229
0.3234, -0.1757, 0.1654, 1.8473, -15.8244, -40.9389
0.3322, -0.1569, 0.0770, 13.8855, -12.4504, -45.0382
0.3593, -0.1766, 0.0126, 9.6565, -0.4504, -41.6718
0.3409, -0.2096, -0.0643, 0.5420, 12.5802, -34.5573
0.3182, -0.2269, -0.1293, 11.5115, 25.3053, -31.0687
0.2924, -0.2694, -0.1339, 1.8855, 32.3511, -26.0763
0.2755, -0.2726, -0.0817, -22.4198, 41.5878, -19.1679
0.2972, -0.2189, -0.0052, -30.6183, 38.6336, -22.1298
0.3129, -0.1935, 0.0267, -30.8931, 27.8244, -20.2137
0.3104, -0.1781, -0.0101, -31.3817, 20.9542, -14.4046
0.3239, -0.1664, -0.0536, -30.9695, 19.3511, -11.8855
0.3195, -0.1871, -0.1019, -27.3359, 23.2595, -9.6794
0.3329, -0.1918, -0.1068, -27.3588, 31.3740, -7.4275
0.3256, -0.1891, -0.1085, -27.3969, 38.0076, -6.3435
0.3370, -0.1854, -0.0768, -21.4122, 43.0458, 0.0305
0.3182, -0.1700, -0.0292, -19.5725, 44.5038, 2.4733
0.2990, -0.1920, 0.0543, -14.6794, 43.4580, 7.6794
0.2765, -0.1874, 0.0905, -10.6412, 38.6718, 4.8321
0.2521, -0.2206, 0.0455, -7.4962, 33.1985, 3.5267
0.2152, -0.2640, -0.0665, -4.6336, 31.4427, 3.9389
0.2289, -0.3075, -0.1281, -11.6489, 35.8931, 4.7405
0.2316, -0.3099, -0.1656, -21.9695, 40.7481, 7.3740
0.2545, -0.2931, -0.1903, -21.8626, 43.8626, 7.5115
0.2938, -0.2555, -0.1866, -26.9618, 44.5954, 13.9313
0.3226, -0.2057, -0.1766, -28.3511, 42.2748, 14.2595
0.3636, -0.1539, -0.1193, -14.6565, 30.1908, 11.1908
0.3710, -0.1139, -0.1176, 0.8626, 19.3435, 18.8092
0.3624, -0.1241, -0.0963, 11.8702, 5.8321, 20.4122
0.3234, -0.1542, -0.1210, 24.3588, -7.0000, 23.6718
0.3107, -0.2123, -0.1593, 20.6947, -17.0000, 23.6107
0.3092, -0.2272, -0.1759, 4.0534, -22.5344, 27.9084
0.3190, -0.2162, -0.1578, -9.6489, -29.3740, 28.7405
0.3136, -0.2242, -0.0690, -25.4886, -41.3511, 32.4580
0.2948, -0.2242, 0.0223, -33.0305, -52.8473, 29.9542
0.2469, -0.2201, 0.0599, -31.3969, -54.6031, 28.2519
0.2357, -0.2450, 0.0448, -23.6336, -59.4427, 19.5954
0.2418, -0.2496, -0.0096, -4.7252, -62.6183, 8.7939
0.2870, -0.2450, -0.0392, 8.1069, -62.3282, 2.8168
0.3046, -0.2614, -0.0455, 15.8321, -57.9008, 4.9695
0.2823, -0.2892, 0.0004, 21.4198, -47.3130, 9.1374
0.2491, -0.3163, 0.0636, 21.1374, -29.8397, 9.7786
0.2633, -0.3514, 0.1149, 16.3664, -17.3511, 7.4275
0.3033, -0.3534, 0.1583, 12.5267, -4.6641, 1.8397
0.3583, -0.3217, 0.0795, 10.4580, 3.3130, -3.8244
0.3661, -0.2665, -0.0275, 24.2595, 14.7634, -8.4580
0.3341, -0.2894, -0.0726, 38.3130, 27.8397, -7.7328
0.3163, -0.3302, 0.0287, 41.1145, 36.5344, -3.6107
